Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SG5745P,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1351.0,0,1351.0,1,1,,,,,9.75,0.0,Overdue - Action Required,3560,3,783200.0,2.0,6.0
SG5759A,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-05-08,,,2029-01-06 03:59:45.600000,1339.0,0,1339.0,1,1,626381.0,,,,9.63,8.92,Scheduled - Future,260,1078,683581.0,1.0,6.0
SG5760U,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,1609.0,0,1609.0,1,1,,,,,9.63,0.0,Overdue - Action Required,3518,30,773960.0,0.0,7.0
SG5765G,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-03-12,,,2029-07-27 11:16:48.000000,1598.0,0,1598.0,1,1,604715.0,,,,9.57,8.7,Scheduled - Future,317,1280,674455.0,0.0,5.0
SG5767B,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-04-26,,,2029-01-04 00:01:26.400000,1349.0,0,1349.0,1,1,563138.0,,,,9.57,8.82,Scheduled - Future,272,1076,622978.0,1.0,7.0
SG5769X,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1340.0,0,1340.0,1,1,,,,,9.57,0.0,Overdue - Action Required,3495,3,768900.0,1.0,5.0
SG5770R,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1340.0,0,1340.0,1,1,,,,,9.57,0.0,Overdue - Action Required,3495,3,768900.0,1.0,5.0
SG5771M,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1318.0,0,1318.0,1,1,,,,,9.57,0.0,Overdue - Action Required,3495,3,768900.0,4.0,4.0
SG5772K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1339.0,0,1339.0,1,1,,,,,9.57,0.0,Overdue - Action Required,3495,3,768900.0,1.0,6.0
SG5773H,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,1598.0,0,1598.0,1,1,,,,,9.57,0.0,Overdue - Action Required,3495,30,768900.0,0.0,5.0
SG5774E,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,1549.0,0,1549.0,1,1,,,,,9.57,0.0,Overdue - Action Required,3495,30,768900.0,0.0,3.0
