Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SG1733A,6012730,"COMPRESSOR,AIR:FOR MAN A95 BUS",MAN A22,SD,GOB,10/6/2019,,10/6/2019,31/12/2026,,0,1300,1,1,263692,,,,8.687671233,2.77260274,Overdue - Action Required,2159,-860,,3,0
SG1753S,6012730,"COMPRESSOR,AIR:FOR MAN A95 BUS",MAN A22 EU6,SD,GOB,7/3/2024,,7/3/2024,28/9/2029,,0,1300,1,1,300579,354993327,40805310,25504384,6.906849315,5.736986301,Scheduled - Future,427,872,370832,30,1
SG1806Z,6012730,"COMPRESSOR,AIR:FOR MAN A95 BUS",MAN A22 EU6,SD,GOB,22/2/2022,,22/2/2022,14/9/2028,,0,1300,1,1,145840,151894128,7037640,3036825,6.482191781,3.273972603,Scheduled - Future,1171,128,19495,12,1
SG5138S,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,7/3/2023,00:00.0,7/3/2023,27/9/2029,825,0,1300,2,4,342378,565529260,51809110,16715740,8.638356164,5.335616438,Scheduled - Future,793,506,575438,62,1
SG5138S,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,4/12/2022,,4/12/2022,22/4/2028,,0,1600,1,1,433948,565529260,51809110,16715740,8.638356164,6.210958904,Scheduled - Future,886,713,575438,62,1
SG5139P,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,13/1/2021,,13/1/2021,5/8/2026,,0,1300,1,1,30150,560736509,55480230,19122913,8.638356164,4.320547945,Overdue - Action Required,1576,-277,569500,45,0
SG5139P,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,4/4/2022,,4/4/2022,21/8/2028,,0,1600,1,1,385420,560736509,55480230,19122913,8.638356164,5.542465753,Scheduled - Future,1130,469,569500,45,0
SG5140J,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,5/10/2020,,5/10/2020,13/9/2026,,0,1439.713098,1,1,295029,621356228,71296760,13342024,8.638356164,4.046575342,Overdue - Action Required,1676,-237,633391,53,3
SG5140J,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,8/8/2022,,8/8/2022,25/12/2029,,0,1600,1,1,430195,621356228,71296760,13342024,8.638356164,5.887671233,Scheduled - Future,1004,595,633391,53,3
SG5141G,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,26/6/2023,00:00.0,26/6/2023,16/1/2029,1224,0,1300,2,4,300808,504391203,59930760,37612143,8.638356164,5.093150685,Scheduled - Future,682,617,514991,37,2
SG5141G,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,7/5/2021,,7/5/2021,23/9/2027,,0,1600,1,1,276249,504391203,59930760,37612143,8.638356164,4.632876712,Scheduled - Future,1462,137,514991,37,2
SG5142D,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,15/9/2023,00:00.0,15/9/2023,7/4/2029,1234,0,1300,2,4,401377,495586143,70275700,44303138,8.638356164,5.301369863,Scheduled - Future,601,698,505859,33,3
SG5142D,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,22/6/2021,,22/6/2021,8/11/2025,,0,1600,1,1,275222,495586143,70275700,44303138,8.638356164,4.75890411,Scheduled - Future,1416,183,505859,33,3
SG5152A,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,5/5/2024,00:00.0,5/5/2024,26/11/2030,1244,0,1300,2,4,405007,585261860,71205020,42572928,8.501369863,5.789041096,Scheduled - Future,368,931,597611,62,4
SG5152A,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,6/6/2021,,6/6/2021,23/10/2025,,0,1600,1,1,322596,585261860,71205020,42572928,8.501369863,4.578082192,Scheduled - Future,1432,167,597611,62,4
SG5153Y,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,20/10/2020,,20/10/2020,20/8/2026,,0,1400.758961,1,1,212377,540361240,78324500,30546859,8.501369863,3.950684932,Overdue - Action Required,1661,-261,552963,40,3
SG5153Y,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,9/8/2022,,9/8/2022,26/12/2029,,0,1600,1,1,333498,540361240,78324500,30546859,8.501369863,5.753424658,Scheduled - Future,1003,596,552963,40,3
SG5154U,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,18/6/2023,00:00.0,18/6/2023,8/1/2029,1211,0,1300,2,4,372944,652908286,85975940,36641514,8.501369863,4.952054795,Scheduled - Future,690,609,663465,49,3
SG5154U,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,29/6/2021,,29/6/2021,15/11/2025,,0,1600,1,1,350361,652908286,85975940,36641514,8.501369863,4.64109589,Scheduled - Future,1409,190,663465,49,3
SG5155S,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,6/4/2023,00:00.0,6/4/2023,27/10/2029,1196,0,1300,2,4,312345,500412004,56791220,33673005,8.501369863,4.77260274,Scheduled - Future,763,536,507005,45,1
SG5155S,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,15/4/2021,,15/4/2021,1/9/2027,,0,1600,1,1,296204,500412004,56791220,33673005,8.501369863,4.435616438,Scheduled - Future,1484,115,507005,45,1
SG5156P,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,26/7/2022,00:00.0,26/7/2022,15/2/2030,942,0,1300,2,4,383591.5,765817498,103981290,67509116,8.501369863,4.424657534,Scheduled - Future,1017,282,779939,56,4
SG5156P,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,19/11/2020,,19/11/2020,7/4/2027,,0,1600,1,1,356960,765817498,103981290,67509116,8.501369863,4.032876712,Overdue - Action Required,1631,-32,779939,56,4
SG5157L,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,6/2/2021,,6/2/2021,29/8/2027,,0,1300,1,1,309612,586585250,45128380,15528493,8.479452055,4.22739726,Overdue - Action Required,1552,-253,595448,50,2
SG5157L,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,12/6/2021,,12/6/2021,29/10/2026,,0,1600,1,1,336918,586585250,45128380,15528493,8.479452055,4.57260274,Scheduled - Future,1426,173,595448,50,2
SG5158J,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,24/7/2020,,24/7/2020,27/6/2026,,0,1434.065163,1,1,263225,551155128,56489880,20199128,8.479452055,3.687671233,Overdue - Action Required,1749,-316,561113,56,3
SG5158J,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,22/3/2022,,22/3/2022,8/8/2029,,0,1600,1,1,377161,551155128,56489880,20199128,8.479452055,5.347945205,Scheduled - Future,1143,456,561113,56,3
SG5159G,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,27/10/2020,,27/10/2020,19/9/2026,,0,1423.689395,1,1,285131,578241050,73070450,27406657,8.479452055,3.947945205,Overdue - Action Required,1654,-231,590079,56,6
SG5159G,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,20/3/2022,,20/3/2022,6/8/2029,,0,1600,1,1,390175,578241050,73070450,27406657,8.479452055,5.342465753,Scheduled - Future,1145,454,590079,56,6
SG5160B,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,17/2/2021,,17/2/2021,17/1/2027,,0,1430.896078,1,1,306457,590064571,92326330,17749834,7.926027397,3.704109589,Overdue - Action Required,1541,-111,603404,49,5
SG5160B,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,13/3/2022,,13/3/2022,30/7/2029,,0,1600,1,1,389144,590064571,92326330,17749834,7.926027397,4.769863014,Scheduled - Future,1152,447,603404,49,5
SG5161Z,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,20/7/2024,00:00.0,20/7/2024,10/2/2030,1404,0,1300,2,4,386685.5,548683862,55422400,19691364,7.926027397,5.202739726,Scheduled - Future,292,1007,558563,79,2
SG5161Z,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,30/3/2022,,30/3/2022,16/8/2029,,0,1600,1,1,373364,548683862,55422400,19691364,7.926027397,4.816438356,Scheduled - Future,1135,464,558563,79,2
SG5162X,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,26/12/2020,,26/12/2020,12/10/2026,,0,1386.155288,1,1,289955,592764588,70388460,11170571,7.926027397,3.55890411,Overdue - Action Required,1594,-209,607997,90,4
SG5162X,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,25/3/2022,,25/3/2022,11/8/2029,,0,1600,1,1,381029,592764588,70388460,11170571,7.926027397,4.802739726,Scheduled - Future,1140,459,607997,90,4
SG5163T,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,29/11/2020,,29/11/2020,8/12/2026,,0,1470.293232,1,1,277966,573406799,83436130,8232258,7.926027397,3.484931507,Overdue - Action Required,1621,-152,585509,65,4
SG5163T,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,15/8/2022,,15/8/2022,1/1/2029,,0,1600,1,1,362646,573406799,83436130,8232258,7.926027397,5.194520548,Scheduled - Future,997,602,585509,65,4
SG5164R,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,23/8/2022,00:00.0,23/8/2022,15/3/2030,950,0,1300,2,9,308013,692989423,94397340,52861091,7.926027397,3.480365297,Scheduled - Future,1939,-6.666666667,700797,60,5
SG5164R,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,2/6/2021,,2/6/2021,19/10/2027,,0,1600,1,1,255080,692989423,94397340,52861091,7.926027397,3.991780822,Scheduled - Future,1436,163,700797,60,5
SG5165M,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,3/11/2020,,3/11/2020,7/12/2027,,0,1495.62988,1,1,257179,592773610,79517710,13874177,7.928767123,3.416438356,Overdue - Action Required,1647,-152,608941,61,9
SG5165M,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,5/8/2022,,5/8/2022,22/12/2029,,0,1600,1,1,355046,592773610,79517710,13874177,7.928767123,5.169863014,Scheduled - Future,1007,592,608941,61,9
SG5166K,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,30/12/2020,,30/12/2020,13/10/2026,,0,1383.450023,1,1,272098,570286933,99950830,16319509,7.928767123,3.57260274,Overdue - Action Required,1590,-208,584569,73,8
SG5166K,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,21/3/2022,,21/3/2022,7/8/2029,,0,1600,1,1,335825,570286933,99950830,16319509,7.928767123,4.794520548,Scheduled - Future,1144,455,584569,73,8
SG5167H,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,28/10/2020,,28/10/2020,6/8/2026,,0,1378.937807,1,1,246551,566238421,86051910,10221869,7.928767123,3.4,Overdue - Action Required,1653,-275,584228,84,8
SG5167H,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,16/3/2022,,16/3/2022,2/8/2028,,0,1600,1,1,358760,566238421,86051910,10221869,7.928767123,4.780821918,Scheduled - Future,1149,450,584228,84,8
SG5168E,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,26/9/2023,00:00.0,26/9/2023,18/4/2029,1364,0,1300,2,4,322424.5,526028535,65706000,30550678,7.926027397,4.44109589,Scheduled - Future,590,709,543188,41,7
SG5168E,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,15/5/2021,,15/5/2021,1/10/2025,,0,1600,1,1,288617,526028535,65706000,30550678,7.926027397,3.942465753,Scheduled - Future,1454,145,543188,41,7
SG5169C,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,20/5/2023,00:00.0,20/5/2023,10/12/2029,1197,0,1300,2,4,359077.5,573854435,62602230,35790343,7.926027397,4.316438356,Scheduled - Future,719,580,583427,38,2
SG5169C,6012689,TURBOCHARGER FOR VOLVO B9TL BUS,B9TL,Double Decker,GOB,31/1/2021,,31/1/2021,19/6/2027,,0,1600,1,1,342095,573854435,62602230,35790343,7.926027397,3.657534247,Due Soon - Monitor,1558,41,583427,38,2
SG5170Y,6012342,"COMPRESSOR,AIR FOR VOLVO B9TL",B9TL,Double Decker,GOB,2/4/2024,00:00.0,2/4/2024,24/10/2030,1468,0,1300,2,4,397586.5,615077049,71370940,36246379,7.926027397,4.816438356,Scheduled - Future,401,898,625295,46,3
